PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
1,2020,20,4,6,3,5,64,5000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,MediaTek Helio P65 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
4,2020,40,2,16,4,5,128,5000,2160,5,45,68,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
3,2020,32,3,8,3,5,128,4500,1080,6,25,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.7 GHz",Mali-G72 MP18,1,1
2,2019,32,5,8,3,5,128,4500,1080,5,25,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
2,2019,32,5,6,3,5,64,4000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4,2020,10,3,12,4,5,256,4500,2160,6,25,0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,0,Qualcomm Snapdragon 865+ (7 nm+),"Octa core, up to 3.09 GHz",Adreno 650,1,1
1,2020,13,4,6,3,5,32,5000,1080,5,15,0,1,2,1,0,PLS TFT Touchscreen,0,Exynos 850 (8 nm),"Octa core, up to 2.2 GHz",Mali-G52,1,1
4,2020,10,3,8,3,5,256,3300,2160,6,15,0,1,3.1,1,1,Dynamic AMOLED Foldable Touchscreen,1,Qualcomm Snapdragon 855+ (7 nm),"Octa core, up to 2.95 GHz",Adreno 640,1,1
0,2020,5,3,2,3,4.2,16,3000,0,2,0,0,1,2,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
0,2019,5,2,1,3,4.2,8,2600,0,2,0,0,1,2,0,0,PLS TFT Touchscreen,0,Exynos 7870 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,0,0
4,2020,10,3,12,5,5,128,4500,2160,5,25,68,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
4,2019,10,3,12,5,5,256,4300,2160,6,45,68,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
2,2019,16,3,6,3,5,64,6000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4,2019,10,3,8,3,5,128,4100,2160,7,15,68,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1,2019,16,2,6,3,5,128,3500,1080,6,15,0,1,2,1,0,PLS TFT Touchscreen,1,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
4,2018,8,4,6,3,5,128,4000,1440,9,15,68,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.4 GHz",Mali-G72 MP18,1,1
2,2019,32,4,6,3,5,64,4000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
1,2019,16,4,4,3,4.2,32,4000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 7904 (14 nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
1,2019,8,4,4,3,4.2,32,4000,0,5,15,0,1,2,1,0,IPS LCS Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1,2019,8,4,3,3,5,32,4000,1080,5,0,0,1,2,0,0,IPS LCS Touchscreen,0,Mediatek MT6762 Helio P22 (12 nm),"Octa core, up to 2.0 GHz",PowerVR GE8320,1,1
3,2019,0,3,8,3,5,128,3700,0,5,25,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
1,2019,25,3,4,3,5,64,4000,1080,5,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 9610 Octa (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
2,2019,32,4,6,3,5,128,4500,1080,5,25,0,1,2,1,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
1,2019,8,2,3,3,5,32,4000,0,5,15,0,1,2,1,0,Super AMOLED Touchscreen,0,Exynos 7884 Octa (14 nm),"Octa core, up to 1.6 GHz",Mali-G71 MP2,1,1
1,2019,5,3,2,3,5,32,3400,0,2,0,0,1,2,0,0,TFT Touchscreen,0,Exynos 7884 Octa,"Octa core, up to 1.6 GHz",Mali-G71 MP2,0,1
1,2019,16,3,4,3,5,64,4000,1080,6,15,0,1,2,1,0,Super AMOLED Touchscreen,1,Exynos 7904 Octa (14nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
4,2019,10,3,8,3,5,128,3400,2160,7,15,68,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
4,2019,10,1,6,3,5,128,3100,2160,6,15,68,1,2,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1,2019,8,2,3,3,5,32,5000,1080,5,15,0,1,2,1,0,PLS-TFT Touchscreen,0,Exynos 7904 Octa (14 nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
1,2019,5,1,2,3,4.2,16,3400,1080,2,0,0,1,2,0,0,PLS-TFT Touchscreen,0,Exynos 7904 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,0,1
2,2018,24,4,4,3,4.2,32,3500,1080,5,0,0,1,2,0,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1,2018,24,4,6,3,5,64,3300,1080,5,0,0,1,2,0,0,Super AMOLED Touchscreen,1,Exynos 7885 (14 nm),"Octa core, up to 2.2 GHz",Mali-G71,1,1
